number,state,value,latent_dim,hidden1,hidden2,recon_mse,silhouette,calinski,davies,n_clusters_found,noise_ratio,largest_cluster_size,smallest_cluster_size,largest_share,size_ratio,penalty_small_k,penalty_imbalance,penalty_tiny_cluster,objective_value,batch_size,epochs,lr,algo,n_clusters,gmm_covariance_type,gmm_reg_covar,birch_threshold,birch_branching_factor,dbscan_eps,dbscan_min_samples,dbscan_metric,agglo_linkage,agglo_metric,spectral_affinity,spectral_n_neighbors,spectral_gamma
217,TrialState.COMPLETE,1288.5070015522806,2,256,32,0.015589019097406802,0.5391227602958679,1306.15478515625,0.44941853607166565,12.0,0.0,29.0,4.0,0.1858974358974359,7.25,0.0,0.8823891801984737,0.0,1288.5070015522806,32.0,120.0,0.0001085939383807249,agglo,12.0,,,,,,,,ward,,,,
248,TrialState.COMPLETE,1286.7831219053814,2,256,32,0.015770403390532105,0.5862628221511841,1396.10986328125,0.37736506793308217,12.0,0.0,26.0,2.0,0.16666666666666666,13.0,0.0,1.466337068793427,1.0,1286.7831219053814,16.0,46.0,0.00011409671678240275,agglo,12.0,,,,,,,,ward,,,,
228,TrialState.COMPLETE,1286.2855823187085,2,256,32,0.015543429270944525,0.5494375824928284,1300.9649658203125,0.49180635586736376,12.0,0.0,25.0,4.0,0.16025641025641027,6.25,0.0,0.7339691750802005,0.0,1286.2855823187085,32.0,125.0,0.00010035456838336858,agglo,12.0,,,,,,,,ward,,,,
31,TrialState.COMPLETE,1285.5887097098437,2,256,32,0.01576534334357794,0.5397056341171265,1297.71142578125,0.4722392990462166,12.0,0.0,22.0,4.0,0.14102564102564102,5.5,0.0,0.6061358035703155,0.0,1285.5887097098437,32.0,108.0,0.00010406854477643999,agglo,12.0,,,,,,,,ward,,,,
180,TrialState.COMPLETE,1278.947940902602,3,128,64,0.015037279392162355,0.5647532939910889,1386.673828125,0.4367616610388058,12.0,0.0,24.0,2.0,0.15384615384615385,12.0,0.0,1.3862943611198906,1.0,1278.947940902602,32.0,94.0,0.00013334644411851473,agglo,12.0,,,,,,,,ward,,,,
183,TrialState.COMPLETE,1278.461579137197,2,128,64,0.014852320456150894,0.5800294280052185,1387.00390625,0.4310298719770706,12.0,0.0,25.0,2.0,0.16025641025641027,12.5,0.0,1.4271163556401458,1.0,1278.461579137197,32.0,118.0,0.00012293600591555356,agglo,12.0,,,,,,,,ward,,,,
285,TrialState.COMPLETE,1277.092866935676,2,256,32,0.015766675950372875,0.533202588558197,1290.955810546875,0.49066033054408237,11.0,0.0,24.0,4.0,0.15384615384615385,6.0,0.0,0.6931471805599453,0.0,1277.092866935676,32.0,111.0,0.00010190121825990615,agglo,11.0,,,,,,,,ward,,,,
190,TrialState.COMPLETE,1276.7461546753532,2,128,32,0.015331446501930732,0.5602264404296875,1383.620849609375,0.43928182550031164,12.0,0.0,23.0,2.0,0.14743589743589744,11.5,0.0,1.3437347467010947,1.0,1276.7461546753532,32.0,127.0,0.00010644079024537397,agglo,12.0,,,,,,,,ward,,,,
246,TrialState.COMPLETE,1264.8854358343335,2,256,32,0.014232325793721303,0.5277778506278992,1279.5648193359375,0.47527975121637595,12.0,0.0,25.0,4.0,0.16025641025641027,6.25,0.0,0.7339691750802005,0.0,1264.8854358343335,16.0,108.0,0.00010702080574445757,agglo,12.0,,,,,,,,ward,,,,
216,TrialState.COMPLETE,1261.5306513353562,2,256,32,0.015661060848618295,0.5686286687850952,1365.610107421875,0.4535548439382113,12.0,0.0,20.0,2.0,0.1282051282051282,10.0,0.0,1.2039728043259361,1.0,1261.5306513353562,32.0,101.0,0.00011879786006792962,agglo,12.0,,,,,,,,ward,,,,
