,WAPE,MAPE,MAE,RMSE
RSG,5.295372155343412,5.1923719860568625,11.26019287109375,12.968962957033972
RTX,5.697360856930057,5.559948803334925,6.906414794921877,8.09783490102557
SBUX,9.155624490472794,8.626271783390242,9.09596684773763,11.668828819486142
SCCO,2.768508962041437,2.7503221273419305,2.4788111368815104,2.877287265786516
SCHW,5.386327045845411,5.248058324590113,4.206368764241536,4.860028184242315
SHW,2.6868492049763546,2.670604242327755,9.405236816406251,10.281732695906323
SLB,4.099378955341627,4.006877738926283,1.6242570241292327,1.9986421406015242
SNOW,9.21737043094108,8.972935548542717,16.193567911783855,18.052738138764767
SNPS,4.363950331854196,4.273850761887547,22.56642354329427,26.974073917244496
SO,1.202400906122078,1.1975521915038019,0.9734764099121094,1.1860703739981204
SPG,1.6503808583221362,1.6143907434224491,2.768912760416667,3.9623354409947775
SPGI,2.432399419934351,2.406709346103493,12.342627970377606,15.050460499979348
SRE,7.682742691551603,7.764549151279176,6.163563537597656,6.6016274805407775
SYK,4.785775575973,4.68421444429934,18.188549804687508,21.36608978386325
T,4.967741423319223,4.799065241367844,1.1263319015502924,1.4076082827714302
TDG,3.040117946673109,2.9960098728271194,37.477473958333334,44.35809832034994
TFC,4.731176956518502,4.641841114964221,2.0833853403727214,2.3976486602760523
TJX,1.356943419463128,1.348547175473696,1.6496889750162764,1.926376523282144
TMO,5.995530993141216,5.870378077236346,33.55511678059896,39.06601372912013
TMUS,5.605786236733147,5.340413610388668,12.697043355305983,16.543190670835205
TRV,1.651614440504269,1.666456903390617,3.9442113240559915,4.972285206013785
TSLA,7.776559396576647,8.292017894001798,30.374981689453126,41.621135823039694
TXN,3.3326997259803846,3.3544871115157004,6.053611755371095,6.785183510921051
UBER,9.494902582708098,9.1636887173774,6.56661122639974,7.732275711716761
UNH,2.3074397016597907,2.2751888716967588,11.934244791666666,15.058849731989598
UNP,4.195552704441418,4.099754074934143,9.850906880696614,11.972279164991914
UPS,6.479769180139741,6.7503948065732216,7.453250122070313,9.156076802446139
USB,2.0914723154556456,2.098665044913007,0.9744354248046873,1.1838781594502767
V,4.834432152638511,4.684210411328093,15.905125935872396,19.723633300368206
VRT,10.00871163076474,9.572694063169095,12.408099110921224,15.476298154726303
VRTX,6.00426304730761,5.76506114158254,26.391818237304694,33.14312550896824
VST,15.390353267320561,15.053174416220374,25.731329345703124,27.75943579491018
VZ,1.9053131953509643,1.9326337350451608,0.7157592773437502,0.8639808841081866
WBD,6.750255908721315,6.860282604940339,0.6845434506734213,0.7646458740853671
WDAY,2.966485392456898,2.9905458163006737,7.661581420898439,8.465488009775072
WDC,5.732843155865785,5.65913766276236,2.8176684061686204,3.1503928998766844
WELL,5.7251212112603715,5.4795601289574,7.588479359944661,9.770022568999499
WFC,6.419848209911351,6.263683302840654,4.8134923299153645,5.496669096995759
WM,4.871899866652291,4.7435176120661735,10.314635721842444,12.50433722195911
WMB,3.286661727748214,3.214738503826976,1.8039396921793627,2.390785647481562
WMT,5.399684958947995,5.188967751697988,5.158546447753909,6.692066551191476
