,WAPE,MAPE,MAE,RMSE
CRWD,9.955825438479799,9.434468789454312,38.657375081380216,47.80522324005092
CSCO,2.5558777123026633,2.4955751264442787,1.5248456319173178,2.050702159131808
CSX,0.9745898895551534,0.9754605685590177,0.3139631907145181,0.390212704982357
CTAS,5.311331440674247,5.2468453641155595,10.420077006022131,11.229183008755374
CVNA,13.231417883246516,12.637618065572722,31.098639424641927,35.21031731633638
CVS,13.374860423511764,12.651240518007073,6.956062825520833,8.255910918748024
CVX,4.352750444002799,4.3029838300026535,6.417844136555989,7.267321540701168
DASH,7.420957445560776,7.094957043129396,13.654685465494792,17.19345355065681
DE,6.253975674416438,6.094307566492637,28.18101704915366,32.25137714541829
DELL,8.25462787770609,8.494500907374697,8.982847086588544,10.26539846663935
DHR,6.718746130286383,7.019687536697719,15.230656941731771,18.186591062747105
DIS,2.7277296340788193,2.7584454232558557,2.9810371398925826,3.629275983531073
DUK,1.8517196964258882,1.825229954264453,1.9791796366373693,2.5122963170918307
ECL,3.6340620537503923,3.5284186280118806,8.786877950032544,11.315416882028531
ELV,3.8853289696201783,3.8416581854500578,14.929796346028661,16.70011022348676
EMR,2.507290060542544,2.5221492922944257,3.091738891601563,3.5399261435619302
EOG,4.056370925709458,3.9814174547415213,5.142596181233722,6.412221280092978
EPD,4.437667006228418,4.406295496505873,1.378760655721029,1.4713987788512302
EQIX,2.9038553275306103,2.9325613847261907,26.29278767903646,30.1183346960459
ET,2.41876997837514,2.3748583248287667,0.4550141016642254,0.5947949073778681
F,3.3434606089018595,3.461089339930544,0.30604082743326816,0.4423605062793091
FCX,4.0445407571469785,4.121233484467203,1.5258804321289061,1.8332730733989504
FDX,6.229519901815733,6.368913503710365,16.35346171061198,19.32343612579624
FTNT,4.511712419138464,4.32188094201855,4.512028249104816,6.04741221539777
GD,3.0938238553047364,3.156320903426852,7.912039693196616,10.324634997504901
GE,11.36421342794221,10.909780925066528,21.69882558186849,25.25271953184676
GILD,2.9939381094631985,2.896022515183206,2.7639567057291665,3.9206381757556863
